Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single,Burnout_Score,Stagnation_Score,Disengagement_Score,Compensation_Gap
1,2,3,2,2,0.25688073438776293,0.39240510429015546,0.3485496690247472,2,3,1,1,1,3,1,1,2,1,1,3,1,3,2,2,2,1,1,1,0,2,2,0,1,0,3,2,4,1
0,3,2,3,2,0.35537190084412335,0.25600486756973356,0.3629994804424569,1,1,1,1,1,3,1,0,1,1,3,3,1,2,2,2,2,0,0,1,0,2,2,1,1,0,1,3,5,1
1,2,2,1,1,0.25688073438776293,0.2312931317475115,0.18182161337813926,1,0,0,0,1,2,0,0,1,1,1,1,1,2,2,3,2,2,2,0,0,2,2,1,1,0,5,2,6,3
1,2,2,1,1,0.35537190084412335,0.25600486756973356,0.3325968600857093,2,2,0,1,0,1,1,1,0,0,1,3,1,3,3,1,2,1,0,1,0,3,3,1,1,0,2,2,1,0
0,1,2,2,2,0.5055446394403083,0.39240510429015546,0.4498825798447005,3,2,1,1,1,3,1,1,3,1,2,3,1,3,2,1,2,0,0,1,0,3,3,0,0,1,1,2,1,1
0,2,3,2,2,0.5055446394403083,0.39240510429015546,0.34641529915159075,2,2,1,0,1,3,0,0,1,1,2,2,0,2,2,2,2,2,2,0,0,2,1,1,1,0,6,3,6,3
0,3,1,4,4,0.35537190084412335,0.39240510429015546,0.34641529915159075,3,3,0,1,0,1,1,1,1,1,1,3,1,3,2,2,2,0,0,1,0,3,3,1,1,0,1,4,2,0
1,2,2,3,1,0.35537190084412335,0.25600486756973356,0.46890153959236736,1,0,1,0,0,3,1,1,3,1,1,3,1,3,1,2,2,0,0,0,0,3,3,1,1,0,1,1,2,1
1,1,2,1,1,0.5041293001243747,0.5277634595901657,0.433182665870381,2,1,1,1,0,1,0,0,2,1,3,1,0,2,2,2,1,2,2,0,1,1,1,1,0,1,7,2,7,1
1,3,4,3,3,0.35537190084412335,0.25600486756973356,0.2774942828349492,3,3,1,1,1,3,1,1,2,1,1,3,1,2,2,2,2,0,0,1,1,3,3,1,1,0,1,3,3,1
1,2,2,2,1,0.25688073438776293,0.5697065570083024,0.5413865546218488,1,0,0,0,1,2,0,0,0,0,1,1,0,1,2,2,1,2,2,0,0,1,1,0,0,1,7,3,8,3
1,3,1,1,1,0.5055446394403083,0.5277634595901657,0.433182665870381,1,0,1,0,1,3,0,0,0,0,1,2,1,3,2,1,2,1,1,0,0,3,2,0,1,0,3,3,2,3
