Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,Department,JobTitle,MonthlySalary,Allowances,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards&Wages_Satisfaction,Get_ Deserved_Promotion,Training_programs_ During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,Maritalstatus_married,Maritalstatus_single
1,2,3,2,2,7,1,2,3,3,1,1,0,1,1,1,3,1,1,3,1,2,2,2,2,0,0,0,0,2,2,1,1,0
1,2,2,1,1,7,8,58,2,0,0,0,0,1,0,0,0,0,1,1,0,1,2,1,3,1,2,0,0,1,1,0,1,0
0,1,2,1,1,7,8,58,1,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,1,1,0,0,2,1,0,0,1
0,2,2,4,4,7,8,58,2,0,0,0,0,2,1,0,0,0,1,1,0,1,3,1,3,1,1,0,0,1,1,0,1,0
1,2,3,2,2,7,8,58,2,0,0,0,0,1,1,0,1,1,1,1,1,2,2,2,2,1,1,1,0,2,2,0,1,0
0,1,2,1,1,5,1,30,2,2,1,1,1,1,0,1,1,1,1,2,1,3,2,2,2,1,1,1,0,3,2,1,0,1
1,2,2,1,1,5,13,11,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,3,1,1,1,0,0,3,1,0,1,0
0,1,2,1,1,3,13,46,1,1,0,0,0,1,0,0,0,0,1,2,0,1,3,1,3,1,1,0,0,2,2,0,0,0
1,1,2,1,1,4,2,30,1,2,1,0,1,3,1,0,1,1,1,2,1,2,2,2,2,1,1,0,0,2,2,0,0,1
1,2,2,2,1,7,8,59,1,0,0,0,0,1,0,0,0,0,1,1,0,1,3,2,2,0,0,0,1,2,2,1,1,0
1,3,2,2,1,3,1,54,1,0,1,0,0,1,0,0,0,0,1,1,0,1,2,3,3,0,0,0,0,2,1,0,0,0
0,1,2,1,1,3,19,38,3,3,1,1,1,3,1,0,3,1,3,3,1,3,2,1,3,0,0,1,0,3,2,1,1,0
0,1,2,2,2,7,1,2,2,0,1,0,0,1,1,1,3,1,1,2,1,3,3,1,3,1,1,1,0,3,3,0,1,0
0,1,1,1,1,6,2,61,1,0,0,0,1,3,0,0,1,1,1,3,1,3,2,2,3,1,1,0,0,2,2,0,0,1
0,2,2,4,4,7,8,58,2,1,0,0,0,1,0,0,2,1,1,1,0,1,1,2,1,2,2,0,0,1,1,0,1,0
0,2,3,2,2,7,8,58,2,2,1,1,1,3,1,1,3,1,1,3,1,3,2,2,2,0,1,1,0,2,3,0,1,0
0,1,1,2,2,12,2,17,1,2,1,0,1,3,0,0,2,1,1,1,1,1,2,1,1,2,2,0,0,3,1,1,0,1
1,2,2,1,1,7,8,58,2,0,0,0,0,1,1,1,0,0,1,2,0,2,2,1,2,0,1,1,0,2,2,0,0,1
0,1,1,1,1,3,13,46,1,0,1,0,0,1,1,1,0,1,1,2,1,2,2,2,2,0,0,1,0,3,2,0,0,1
1,2,3,2,2,7,1,30,2,3,1,1,1,3,1,1,2,1,1,3,1,3,2,2,2,1,1,1,0,2,2,0,1,0
0,3,2,3,2,3,19,38,1,1,1,1,1,3,1,0,1,1,3,3,1,2,2,2,2,0,0,1,0,2,2,1,1,0
1,2,2,1,1,7,8,58,1,0,0,0,1,2,0,0,1,1,1,1,1,2,2,3,2,2,2,0,0,2,2,1,1,0
1,2,2,1,1,3,19,14,2,2,0,1,0,1,1,1,0,0,1,3,1,3,3,1,2,1,0,1,0,3,3,1,1,0
0,1,2,2,2,12,1,57,3,2,1,1,1,3,1,1,3,1,2,3,1,3,2,1,2,0,0,1,0,3,3,0,0,1
0,2,3,2,2,12,1,2,2,2,1,0,1,3,0,0,1,1,2,2,0,2,2,2,2,2,2,0,0,2,1,1,1,0
0,3,1,4,4,3,1,2,3,3,0,1,0,1,1,1,1,1,1,3,1,3,2,2,2,0,0,1,0,3,3,1,1,0
1,2,2,3,1,3,19,45,1,0,1,0,0,3,1,1,3,1,1,3,1,3,1,2,2,0,0,0,0,3,3,1,1,0
1,1,2,1,1,11,6,52,2,1,1,1,0,1,0,0,2,1,3,1,0,2,2,2,1,2,2,0,1,1,1,1,0,1
1,3,4,3,3,3,19,15,3,3,1,1,1,3,1,1,2,1,1,3,1,2,2,2,2,0,0,1,1,3,3,1,1,0
1,2,2,2,1,7,5,55,1,0,0,0,1,2,0,0,0,0,1,1,0,1,2,2,1,2,2,0,0,1,1,0,0,1
1,3,1,1,1,12,6,52,1,0,1,0,1,3,0,0,0,0,1,2,1,3,2,1,2,1,1,0,0,3,2,0,1,0
0,2,1,3,1,0,13,11,1,2,1,0,0,1,0,0,1,1,1,2,0,1,1,3,1,2,2,0,0,1,1,0,1,0
1,3,3,1,1,7,1,2,3,0,1,0,0,1,1,1,3,1,1,3,1,3,3,2,2,0,0,1,1,2,3,1,1,0
0,1,2,1,1,3,19,15,7,3,1,1,1,3,1,1,1,1,3,3,1,3,2,3,1,2,0,0,0,2,2,0,0,1
0,1,2,2,1,12,0,0,1,0,0,0,0,1,1,0,0,0,1,2,1,2,2,1,3,1,2,0,0,2,2,0,1,0
0,3,2,1,1,3,4,47,2,2,1,0,0,2,0,0,0,0,3,1,0,1,2,2,2,1,1,0,0,2,1,1,1,0
1,3,1,2,2,12,3,39,1,0,0,0,0,2,0,0,0,0,1,2,0,1,2,2,2,2,2,0,1,1,1,1,1,0
0,1,2,1,1,9,2,8,2,3,1,0,0,1,1,1,1,1,1,2,1,3,3,1,3,0,1,1,0,2,2,1,1,0
1,2,2,2,2,3,19,33,2,3,1,1,1,3,1,1,2,1,2,2,1,3,2,2,2,0,2,1,0,3,2,1,1,0
1,2,2,2,2,7,8,58,1,0,0,0,0,1,0,0,1,1,1,1,0,2,1,2,2,2,2,0,0,2,1,0,1,0
0,1,1,2,1,6,14,24,2,2,1,0,1,2,0,0,0,0,3,2,1,3,1,2,2,0,2,1,1,3,3,1,0,1
0,2,2,3,2,3,19,15,1,1,1,0,1,3,1,1,1,1,2,2,1,2,2,2,2,1,1,0,0,2,2,1,1,0
1,1,2,3,3,10,14,24,2,2,1,1,0,1,1,1,2,1,1,3,1,3,2,2,2,1,0,1,0,3,3,0,1,0
0,1,3,2,1,10,0,0,2,1,1,0,0,1,0,1,1,1,1,2,1,2,2,2,2,2,2,0,0,2,2,1,1,0
0,1,1,2,2,0,13,11,2,0,1,1,0,1,1,0,2,1,1,2,0,2,2,1,1,1,1,1,0,2,2,0,0,1
0,2,2,1,1,10,13,46,2,0,0,0,0,1,0,0,0,0,1,1,1,2,2,2,3,1,1,0,1,2,1,0,1,0
0,2,2,2,1,1,2,36,2,0,1,0,1,3,0,0,2,1,1,2,1,2,2,1,2,0,1,0,0,2,2,1,1,0
0,2,2,2,1,9,2,8,1,0,0,0,0,2,0,0,0,0,1,1,0,1,2,2,3,2,1,0,0,1,1,0,0,1
1,2,3,1,1,3,19,33,3,2,1,0,1,3,1,1,3,1,2,3,1,3,2,2,2,0,0,1,0,3,2,1,1,0
0,2,3,2,2,3,19,33,1,3,0,0,0,1,0,1,0,0,1,2,1,2,1,2,1,0,0,1,0,3,2,0,0,1
0,2,3,3,2,0,15,12,3,1,0,0,1,3,0,1,2,1,2,1,1,2,2,3,3,1,2,1,0,3,2,1,1,0
1,1,1,2,2,12,6,57,1,3,1,0,1,3,0,0,1,0,1,1,0,1,1,2,1,2,2,0,0,1,1,1,1,0
1,2,2,2,2,6,13,11,2,3,1,1,1,3,1,1,3,1,1,3,1,3,2,2,2,1,0,1,0,3,3,0,1,0
0,1,2,1,1,6,14,24,2,2,1,0,0,2,1,0,1,1,2,1,0,1,1,1,2,2,2,0,0,2,1,0,0,1
1,1,1,1,1,7,5,55,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,3,1,1,0,0,2,1,0,0,1
0,2,3,1,1,3,19,33,2,4,1,1,1,3,1,1,3,1,2,3,1,3,1,2,2,1,1,1,1,3,3,1,1,0
0,2,1,2,1,12,6,52,1,1,1,1,1,3,1,0,1,1,3,2,1,3,3,1,1,0,1,1,0,2,2,1,1,0
1,1,1,1,1,12,6,52,1,3,1,0,1,3,1,0,1,1,1,2,1,3,3,2,2,1,1,1,0,2,2,1,0,1
0,3,2,2,2,7,8,58,1,2,1,0,0,1,1,1,2,1,1,3,1,3,2,1,3,1,0,1,0,3,3,1,1,0
0,2,2,2,2,7,8,58,2,4,1,1,1,2,1,1,3,1,2,3,1,3,2,2,2,0,0,1,1,2,2,1,1,0
1,1,2,1,1,3,19,33,1,0,1,0,0,3,0,0,1,0,1,1,1,2,2,1,1,2,1,1,0,2,2,1,0,1
0,1,2,1,1,0,6,50,2,0,1,1,0,1,0,0,1,1,1,3,1,3,2,2,2,1,1,1,0,3,2,1,0,1
1,2,2,1,1,3,19,15,1,0,0,0,1,2,0,0,1,1,1,3,1,3,2,1,2,1,1,1,0,2,2,1,1,0
1,2,2,2,2,11,6,50,2,2,1,0,0,1,0,0,0,0,2,1,0,1,1,2,1,2,2,1,1,1,1,0,0,1
0,2,2,2,2,7,8,58,2,2,1,1,1,3,1,1,1,1,1,3,1,3,2,2,2,2,0,1,0,3,3,1,0,1
0,2,2,2,2,12,1,57,3,1,1,1,1,3,1,1,2,1,2,2,1,3,2,1,3,0,0,1,0,2,2,0,1,0
1,2,2,1,1,7,8,58,1,0,0,0,0,1,0,0,3,1,1,1,1,3,1,2,1,1,1,0,1,1,2,0,1,0
0,1,2,2,2,6,4,48,2,3,1,1,1,3,1,1,3,1,3,3,1,3,3,1,3,1,0,1,0,2,3,0,1,0
1,1,3,1,1,14,16,28,1,1,0,0,0,2,0,0,1,1,1,2,0,2,2,1,1,2,2,0,0,2,1,0,0,1
0,2,3,2,1,6,2,36,3,1,1,1,1,2,1,1,2,1,2,3,1,2,2,3,1,1,1,0,1,2,2,1,1,0
1,2,3,2,2,7,8,29,2,1,0,0,0,1,0,0,2,1,1,2,1,2,1,2,2,1,1,0,0,2,2,1,1,0
1,1,2,1,1,3,13,11,1,1,1,0,0,1,0,0,0,0,1,2,0,2,2,1,2,1,0,1,0,1,2,0,1,0
0,1,2,1,1,11,12,5,2,2,1,1,1,1,0,0,1,1,1,3,1,2,3,2,3,1,1,0,0,2,2,1,0,1
0,2,2,3,1,11,13,11,1,2,1,0,1,3,0,0,0,0,1,1,0,1,3,2,2,2,1,0,0,2,1,1,0,1
0,2,2,1,1,6,3,39,2,3,1,1,1,3,1,1,1,1,1,3,1,3,2,2,2,1,0,1,1,2,2,0,1,0
1,2,2,1,1,13,3,39,1,1,0,0,0,1,0,0,0,0,1,1,0,1,3,2,2,1,1,0,0,1,1,1,0,1
0,1,2,1,1,1,6,51,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,3,1,2,2,0,1,1,1,0,0,1
0,2,1,3,2,11,6,9,2,3,1,0,0,1,0,0,1,0,1,3,1,1,2,1,2,2,2,0,0,3,1,0,1,0
0,2,2,3,3,13,2,13,3,1,0,1,0,3,1,1,0,0,1,2,1,2,2,2,2,1,2,1,0,2,2,0,0,1
1,2,2,2,2,7,1,2,3,4,1,1,1,3,1,1,3,1,1,3,1,3,2,2,2,1,1,1,0,3,3,0,1,0
1,1,2,1,1,3,19,13,1,0,1,0,0,1,0,0,1,1,2,2,1,3,2,1,2,1,1,0,0,2,2,1,0,1
0,1,2,2,2,6,2,37,2,2,1,1,1,3,0,0,1,1,3,2,1,3,3,3,1,2,2,0,0,2,2,1,0,1
